eval_index,qpso_iter,particle,validity,uniqueness,fitness,gbest_fitness,best_v_ever,best_u_ever,qualified_v,qualified_u,alpha,stagnation,elapsed_s
78,0,78,0.9772,0.0033,0.0032,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
79,0,79,0.8478,0.1092,0.0926,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
80,0,80,0.8832,0.1223,0.108,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
81,0,81,0.3026,0.1434,0.0434,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
82,0,82,0.8674,0.1049,0.091,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
83,0,83,0.573,0.0841,0.0482,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
84,0,84,0.8492,0.0167,0.0142,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
85,0,85,0.3484,0.1774,0.0618,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
86,0,86,0.8496,0.1236,0.105,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
87,0,87,0.9338,0.0109,0.0102,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
88,0,88,0.8698,0.1145,0.0996,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
89,0,89,0.6518,0.1952,0.1272,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
90,0,90,0.316,0.2348,0.0742,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
91,0,91,0.933,0.0116,0.0108,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
92,0,92,0.806,0.1226,0.0988,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
93,0,93,0.752,0.0766,0.0576,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
94,0,94,0.9014,0.1058,0.0954,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
95,0,95,0.3568,0.1155,0.0412,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
96,0,96,0.9826,0.0222,0.0218,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
97,0,97,0.3542,0.14,0.0496,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
98,0,98,0.6002,0.1576,0.0946,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
99,0,99,0.8996,0.0558,0.0502,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
100,0,100,0.4894,0.3494,0.171,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
101,0,101,0.7522,0.0699,0.0526,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
102,0,102,0.9652,0.03,0.029,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
103,0,103,0.3228,0.1475,0.0476,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
104,0,104,0.537,0.7203,0.3868,0.259,0.993,0.4132,0.0,0.4017,1.1754,0,24.5
