eval_index,qpso_iter,particle,validity,uniqueness,fitness,gbest_fitness,best_v_ever,best_u_ever,qualified_v,qualified_u,alpha,stagnation,elapsed_s
202,5,10,0.9638,0.0537,0.0518,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
203,5,11,0.2942,0.4596,0.1352,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
204,5,12,0.6562,0.4764,0.3126,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
205,5,13,0.1742,0.2181,0.038,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
206,5,14,0.403,0.3429,0.1382,0.45,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
207,5,15,0.6474,0.7078,0.4582,0.4582,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
208,5,16,0.5842,0.5505,0.3216,0.4582,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
209,5,17,0.451,0.6004,0.2708,0.4582,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
210,5,18,0.5374,0.4455,0.2394,0.4582,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
211,5,19,0.7716,0.3302,0.2548,0.4582,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
212,5,20,0.5316,0.3875,0.206,0.4582,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
213,5,21,0.6606,0.3566,0.2356,0.4582,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
214,5,22,0.9314,0.0507,0.0472,0.4582,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
215,5,23,0.5606,0.3924,0.22,0.4582,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
216,5,24,0.6426,0.6153,0.3954,0.4582,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
217,5,25,0.6596,0.7056,0.4654,0.4654,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
218,5,26,0.731,0.5078,0.3712,0.4654,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
219,5,27,0.3646,0.5474,0.1996,0.4654,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
220,5,28,0.9458,0.1271,0.1202,0.4654,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
221,5,29,0.86,0.0986,0.0848,0.4654,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
222,5,30,0.7708,0.3095,0.2386,0.4654,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
223,5,31,0.4846,0.7928,0.3842,0.4654,1.0,0.8252,0.7434,0.7363,1.1954,1,10.4
224,6,0,0.646,0.7449,0.4812,0.4812,1.0,0.8252,0.7434,0.7449,1.1302,0,10.4
225,6,1,0.1814,0.5546,0.1006,0.4812,1.0,0.8252,0.7434,0.7449,1.1302,0,10.4
226,6,2,0.6846,0.6342,0.4342,0.4812,1.0,0.8252,0.7434,0.7449,1.1302,0,10.4
227,6,3,0.705,0.6289,0.4434,0.4812,1.0,0.8252,0.7434,0.7449,1.1302,0,10.4
228,6,4,0.7856,0.4364,0.3428,0.4812,1.0,0.8252,0.7434,0.7449,1.1302,0,10.4
229,6,5,0.5664,0.4841,0.2742,0.4812,1.0,0.8252,0.7434,0.7449,1.1302,0,10.4
230,6,6,0.5822,0.4201,0.2446,0.4812,1.0,0.8252,0.7434,0.7449,1.1302,0,10.4
231,6,7,0.3126,0.7006,0.219,0.4812,1.0,0.8252,0.7434,0.7449,1.1302,0,10.4
232,6,8,0.8192,0.2559,0.2096,0.4812,1.0,0.8252,0.7434,0.7449,1.1302,0,10.4
233,6,9,0.5534,0.4405,0.2438,0.4812,1.0,0.8252,0.7434,0.7449,1.1302,0,10.4
234,6,10,0.6814,0.3968,0.2704,0.4812,1.0,0.8252,0.7434,0.7449,1.1302,0,10.4
235,6,11,0.625,0.1418,0.0886,0.4812,1.0,0.8252,0.7434,0.7449,1.1302,0,10.4
236,6,12,0.565,0.7929,0.448,0.4812,1.0,0.8252,0.7434,0.7929,1.1302,0,10.4
237,6,13,0.2004,0.4371,0.0876,0.4812,1.0,0.8252,0.7434,0.7929,1.1302,0,10.4
238,6,14,0.7408,0.422,0.3126,0.4812,1.0,0.8252,0.7434,0.7929,1.1302,0,10.4
239,6,15,0.7058,0.5863,0.4138,0.4812,1.0,0.8252,0.7434,0.7929,1.1302,0,10.4
240,6,16,0.6838,0.6294,0.4304,0.4812,1.0,0.8252,0.7434,0.7929,1.1302,0,10.4
241,6,17,0.5192,0.6256,0.3248,0.4812,1.0,0.8252,0.7434,0.7929,1.1302,0,10.4
242,6,18,0.6648,0.3574,0.2376,0.4812,1.0,0.8252,0.7434,0.7929,1.1302,0,10.4
243,6,19,0.594,0.6519,0.3872,0.4812,1.0,0.8252,0.7434,0.7929,1.1302,0,10.4
244,6,20,0.5552,0.3818,0.212,0.4812,1.0,0.8252,0.7434,0.7929,1.1302,0,10.4
245,6,21,0.6308,0.481,0.3034,0.4812,1.0,0.8252,0.7434,0.7929,1.1302,0,10.4
246,6,22,0.8928,0.3181,0.284,0.4812,1.0,0.8252,0.7434,0.7929,1.1302,0,10.4
247,6,23,0.8468,0.2917,0.247,0.4812,1.0,0.8252,0.7434,0.7929,1.1302,0,10.4
