iter_label,phase,best_particle,objective,validity,uniqueness,product_validity_uniqueness,HBA,HBD,HBA_error,HBD_error,chem_closeness,batch_best_vu,batch_best_vu_HBA,batch_best_vu_HBD
127,iter,10,0.76516108,0.833400,0.925246,0.77110000,3.859131,3.137989,0.140869,0.137989,0.98074531,0.77110000,3.859131,3.137989
128,iter,7,0.76779747,0.838900,0.922756,0.77410000,3.922160,3.187269,0.077840,0.187269,0.97964562,0.77410000,3.922160,3.187269
129,iter,5,0.76549450,0.830400,0.931238,0.77330000,3.995063,3.226036,0.004937,0.226036,0.97476560,0.77760000,3.942355,3.321067
130,iter,3,0.76611285,0.834900,0.924662,0.77200000,3.939753,3.186729,0.060247,0.186729,0.98093539,0.77540000,3.968165,3.252653
131,iter,4,0.76723195,0.838900,0.920491,0.77220000,3.920372,3.161521,0.079628,0.161521,0.98391591,0.77440000,3.920252,3.221892
132,iter,4,0.77052447,0.844300,0.920644,0.77730000,3.893640,3.180978,0.106360,0.180978,0.97820812,0.78100000,3.995290,3.328309
133,iter,0,0.77612269,0.846500,0.923804,0.78200000,3.897696,3.165741,0.102304,0.165741,0.98121066,0.78200000,3.897696,3.165741
134,iter,15,0.77434503,0.845700,0.924087,0.78150000,3.910488,3.195696,0.089512,0.195696,0.97711141,0.78240000,3.995626,3.242700
135,iter,0,0.77734227,0.853200,0.924637,0.78890000,3.970347,3.271566,0.029653,0.271566,0.96337391,0.78890000,3.970347,3.271566
136,iter,7,0.77607317,0.846600,0.926884,0.78470000,3.935625,3.227144,0.064375,0.227144,0.97251552,0.78570000,3.970986,3.359843
137,iter,2,0.77256359,0.858900,0.915008,0.78590000,3.923856,3.284434,0.076144,0.284434,0.95757601,0.78860000,4.040778,3.414307
138,iter,2,0.77600494,0.855600,0.920524,0.78760000,3.933964,3.265778,0.066036,0.265778,0.96319497,0.78760000,3.933964,3.265778
139,iter,0,0.77723139,0.854400,0.920646,0.78660000,3.913038,3.229986,0.086962,0.229986,0.97022436,0.78700000,3.926552,3.261176
140,iter,5,0.77587388,0.846300,0.924849,0.78270000,3.900981,3.185159,0.099019,0.185159,0.97819688,0.78770000,3.987237,3.306089
141,iter,5,0.78322791,0.851500,0.926483,0.78890000,3.862361,3.131650,0.137639,0.131650,0.98202533,0.79040000,3.944700,3.266124
142,iter,8,0.78169713,0.856400,0.919897,0.78780000,3.879496,3.156819,0.120504,0.156819,0.98063320,0.78850000,3.980532,3.291896
143,iter,8,0.78258254,0.854800,0.923374,0.78930000,3.875058,3.165536,0.124942,0.165536,0.97872337,0.78930000,3.875058,3.165536
144,iter,6,0.78320030,0.850900,0.928429,0.79000000,3.874251,3.166412,0.125749,0.166412,0.97848197,0.79140000,3.982374,3.255934
145,iter,13,0.77947439,0.849600,0.925847,0.78660000,3.883945,3.179849,0.116055,0.179849,0.97735315,0.78660000,3.883945,3.179849
146,iter,3,0.78061244,0.850800,0.923836,0.78600000,3.874354,3.137047,0.125646,0.137047,0.98286400,0.78990000,4.011896,3.326569
147,iter,0,0.78040890,0.849700,0.928563,0.78900000,3.932447,3.225021,0.067553,0.225021,0.97277851,0.78900000,3.932447,3.225021
148,iter,3,0.78142946,0.854800,0.921970,0.78810000,3.849321,3.141671,0.150679,0.141671,0.97883980,0.78890000,3.943587,3.296692
149,iter,1,0.78122566,0.858300,0.917395,0.78740000,3.876034,3.155657,0.123966,0.155657,0.98039644,0.79060000,3.961842,3.272759
150,iter,9,0.78283945,0.850100,0.930949,0.79140000,3.885425,3.204211,0.114575,0.204211,0.97295757,0.79140000,3.885425,3.204211
